word,count
added,1
destination,1
Taipei,1
May,2
2,1
2013,1
Rail,1
major,1
rail,1
hubs,1
Hakodate,3
Main,6
Line,8
connects,4
south,1
S,2
ya,2
Wakkanai,1
at,1
north,1
Sekihoku,2
Abashiri,2
Sea,1
Okhotsk,1
Furano,3
nearby,1
Chikabumi,1
Yoj,1
Shin,2
Sakuraoka,1
Kaguraoka,1
Midorigaoka,1
Gory,1
Mizuho,1
Seiwa,1
Chiyogaoka,1
Bus,1
Municipal,1
buses,1
serve,1
Specialties,1
Ramen,1
Confectionery,1
Sake,2
Otokoyama,2
Takasago,1
Taisetsunokura,1
Cocktail,1
Taisetsu,2
Microbrew,1
Beer,1
ji,1
beer,1
mutton,1
barbecue,1
Genghis,1
Khan,1
Pottery,2
wooden,1
handiwork,1
Arashiyama,2
Sightseeing,1
village,1
Bridge,1
Furniture,1
Center,3
Museum,3
Sculpture,1
Honor,1
Teijiro,1
Nakahara,1
Shrine,3
Illuminations,1
February,1
Youth,1
Science,1
Saiparu,1
Ayako,1
Miura,1
Memorial,2
Literature,1
Hoppo,1
Wild,1
Flower,1
Garden,1
famous,2
Erythronium,2
japonicum,2
Dogtooth,1
violet,1
that,1
flower,1
Hokkaid,1
Gokoku,1
Traditional,1
Art,1
Craft,1
no,1
Mori,1
Ice,1
Pavilion,1
Tossho,1
Brewing,1
Romantic,1
Road,1
tree,1
tunnel,1
churches,1
Ski,4
Resorts,1
Links,1
Santa,1
Present,1
Pippu,1
Area,1
Canmore,1
etc,1
Sugai,1
Amusement,1
Factory,1
Yasushi,1
Inoue,1
Sister,2
friendship,1
Bloomington,1
Illinois,2
United,2
States,2
Normal,1
Suwon,1
Gyeonggi,1
Friendship,1
Yuzhno,1
Sakhalinsk,1
Sakhalin,1
Oblast,1
Russia,1
Harbin,1
Heilongjiang,1
China,1
Notable,1
people,1
References,1
External,1
links,1
Official,1
Website,2
Tourism,1
English,1
