word,count
assistance,1
developing,3
Horace,1
Capron,1
Secretary,1
Agriculture,1
under,4
President,1
Ulysses,1
S,8
Grant,1
became,2
oyatoi,1
gaikokujin,1
appointed,1
special,3
advisor,1
commission,1
Construction,1
around,6
still,1
remains,3
green,1
ribbon,1
recreational,1
bisecting,1
central,1
closely,1
followed,1
grid,2
plan,3
streets,2
right,1
angles,1
form,1
blocks,1
continuing,1
expansion,2
Japanese,10
into,5
continued,2
mainly,1
due,5
migration,1
Honshu,2
immediately,1
south,1
prosperity,1
particularly,1
grew,1
point,1
deemed,1
unnecessary,1
abolished,3
1882,1
Edwin,2
Dun,2
came,2
sheep,2
cattle,1
ranches,1
1876,3
He,4
also,14
demonstrated,1
pig,1
raising,1
making,1
butter,1
cheese,1
ham,1
sausage,1
married,1
twice,2
women,1
once,1
went,2
back,2
US,3
1883,1
but,4
returned,1
secretary,1
William,2
Clark,2
who,1
president,2
Massachusetts,2
Agricultural,3
College,9
now,2
Amherst,1
founding,1
eight,1
months,1
1877,1
taught,1
academic,1
subjects,1
science,1
lectured,1
Bible,1
ethics,1
course,3
introducing,1
Christian,1
principles,1
entering,1
class,1
1880,1
entire,2
renamed,3
ku,34
Ward,1
railroad,2
between,3
Temiya,1
Otaru,3
laid,2
That,1
H,1
heikan,1
hotel,1
reception,1
facility,1
visiting,1
officials,1
dignitaries,1
erected,1
adjacent,3
later,2
moved,1
Nakajima,2
where,3
today,2
Two,1
abolition,1
Hokkaid,7
divided,1
prefectures,1
Nemuro,2
urban,3
district,9
remained,1
while,2
rest,1
changed,2
gun,3
office,3
building,4
Prefectures,1
were,14
1886,1
neo,1
baroque,1
style,1
structure,1
red,1
bricks,1
constructed,5
1888,1
last,3
squad,1
Tondenhei,1
soldiers,1
pioneering,1
place,3
Tonden,2
Kita,3
administered,1
surrounding,1
until,1
1899,2
when,4
system,4
announced,2
After,3
away,2
control,1
enforced,1
autonomy,1
little,1
bigger,1
towns,3
smaller,1
cities,5
existed,1
Gallery,5
20th,1
1907,1
Tohoku,1
Imperial,3
Sendai,1
Miyagi,1
controlled,1
Parts,1
neighbouring,1
villages,1
including,10
Village,7
Naebo,2
Kami,2
Shiroishi,5
districts,1
hei,1
had,3
integrated,3
1910,1
Streetcar,2
opened,3
1918,1
fifth,1
Another,2
operated,1
J,3
zankei,2
Railroad,1
ultimately,1
1969,1
1922,1
City,6
Municipal,4
Bus,3
System,2
started,4
1930,1
1937,2
chosen,1
site,2
1940,3
outbreak,1
Second,2
Sino,2
War,3
this,1
cancelled,1
next,3
Maruyama,5
Town,4
part,7
Ch,4
1942,1
1950,1
same,4
rendered,1
Atsubetsu,3
1955,1
Kotoni,2
Shinoro,2
merged,1
becoming,2
current,1
Higashi,2
Nishi,2
Teine,7
merger,1
1961,1
1967,1
each,1
Kiyota,2
ceremony,1
commemorating,1
100th,1
anniversary,1
foundation,1
1968,1
Subway,4
inaugurated,1
1971,1
made,2
fourth,1
have,5
subway,2
From,3
February,4
3,6
13,1
On,1
April,3
1,8
designated,3
one,9
ordinance,1
seven,1
wards,2
public,2
performance,2
opera,1
singer,1
Maria,2
Callas,2
Koseinenkin,2
Kaikan,3
11,2
November,4
1974,2
expanded,1
T,4
zai,1
line,4
operation,1
1976,1
h,1
1988,1
1989,1
separated,2
Annual,1
events,7
such,5
Pacific,4
Music,4
Yosakoi,2
ran,2
1992,1
A,1
professional,3
football,2
club,1
Consadole,3
1996,1
1997,2
Takushoku,1
Bank,1
based,2
bank,1
headquarters,1
bankrupt,1
21st,1
2001,3
completed,1
Germany,1
vs,3
Saudi,1
Arabia,1
Argentina,1
England,1
Italy,1
Ecuador,1
all,4
round,1
Fumio,2
Ueda,1
elected,1
mayor,1
2003,2
Nippon,7
Professional,3
Baseball,3
team,2
Ham,4
Fighters,4
2004,2
won,1
2006,5
Series,1
victory,1
parade,1
Ekimae,1
D,1
ri,1
street,2
front,1
2007,4
34th,1
G8,1
summit,1
took,1
yako,1
2008,2
anti,1
globalization,1
activists,1
marched,1
heart,2
protest,1
Police,1
officers,1
gathered,1
news,1
reported,1
four,1
arrested,1
demonstrations,1
Shinkansen,1
connects,1
Seikan,1
Tunnel,1
planned,1
link,1
Geography,1
Roadways,1
are,14
make,1
western,2
southern,1
parts,1
mountains,1
Mount,4
Moiwa,3
many,11
rivers,1
sei,1
elevation,1
29,1
m,3
95,1
ft,2
parks,2
hosts,3
festivals,3
throughout,3
Moerenuma,3
Isamu,3
Noguchi,2
artist,2
landscape,1
architect,1
Neighbouring,1
Ebetsu,1
Kitahiroshima,2
Eniwa,1
Date,1
adjoining,1
betsu,1
Kimobetsu,1
Ky,2
goku,1
Wards,1
ten,1
Cityscape,1
Climate,1
humid,2
continental,1
climate,2
K,4
ppen,1
Dfa,1
wide,1
range,1
temperature,2
summer,2
winter,2
Summers,1
generally,1
warm,1
not,1
oppressively,1
hot,1
winters,1
cold,2
very,1
snowy,1
average,2
snowfall,3
4,3
79,1
9,1
per,4
few,1
metropolises,1
world,7
heavy,2
enabling,1
hold,1
snow,2
statues,2
Siberian,1
High,3
Eurasian,1
mass,1
Aleutian,1
Low,1
northern,1
Ocean,1
resulting,1
flow,1
air,1
southeastward,1
across,2
Tsushima,1
Current,1
precipitation,1
100,1
mm,1
43,1
mean,1
8,2
5,2
C,1
47,1
F,2
Demographics,1
census,1
population,3
1873,1
753,1
families,1
total,3
785,1
recorded,1
town,1
estimated,1
957,1
914,1
May,3
31,1
density,1
746,1
persons,2
km2,2
500,2
mi2,1
121,1
26,1
432,1
92,1
sq,1
mi,1
Economy,1
tertiary,1
sector,1
dominates,1
industry,1
Major,1
industries,1
information,1
technology,1
retail,1
tourism,1
destination,1
sports,5
activities,1
comparatively,1
cool,1
manufacturing,2
centre,1
various,2
goods,1
food,2
related,1
products,2
fabricated,1
metal,1
steel,1
machinery,1
beverages,1
pulp,1
paper,1
Breweries,1
founded,3
major,3
company,2
employer,1
International,6
Airlines,1
Air,5
Do,1
headquartered,3
Network,2
companies,1
Crypton,1
Future,1
Media,3
DB,1
Soft,1
Royce,1
Greater,1
Metropolitan,1
Employment,1
Area,1
GDP,2
84,1
7,1
billion,3
2010,1
2014,2
capita,1
PPP,1
32,1
446,1
Culture,2
entertainment,1
1934,1
Contemporary,1
Akira,2
Ifukube,2
Hayasaka,1
Atsushi,1
Miura,1
30,2
September,2
1936,1
Russian,1
composer,1
Alexander,1
Tcherepnin,1
visited,3
1960,1
Symphony,2
Orchestra,1
1962,1
John,1
Cage,1
David,1
Tudor,1
1966,2
Berliner,1
Philharmoniker,1
Herbert,1
von,1
Karajan,1
performed,1
Brahms,1
No,1
Shimin,1
Art,10
Outdoor,1
Stage,1
Hall,3
27,1
July,1
PMF,1
Concert,1
Kitara,1
2018,1
Community,2
Plaza,1
set,1
open,2
October,1
Modern,1
represents,1
artists,1
like,2
Eien,1
Iwahashi,1
Kinjiro,1
Kida,1
Nissho,1
Kanda,1
Tamako,1
Kataoka,1
especially,1
glass,1
objects,1
Ecole,1
de,1
Paris,1
Hong,2
Shin,4
Memorial,4
Sculpture,2
collection,1
800,1
works,1
contains,2
featuring,1
outdoor,1
installations,1
sculpture,1
garden,2
old,1
house,1
Takeo,2
Arishima,2
Glass,1
Pyramid,1
designed,1
Migishi,1
Kotaro,1
Hongo,1
Miyanomori,3
Underground,1
Walkway,1
Member,1
UNESCO,1
Creative,2
Cities,1
Arts,1
since,2
2013,2
Literature,3
Residence,1
Junichi,1
Watanabe,1
Film,2
Idiot,1
1951,2
film,1
Kurosawa,1
Northern,1
Visual,1
Theater,1
Kino,1
Short,1
Market,2
Points,1
interest,1
Registered,1
Tangible,1
Cultural,2
Properties,1
former,1
Clock,1
Shrine,3
Nishino,1
Historical,1
Buried,1
Property,1
Center,3
Archive,1
Former,1
Court,1
Appeal,1
Factory,1
Convention,1
Salmon,1
Makomanai,5
Sunpiazza,1
AquariumSapporo,1
JR,4
Ramen,3
Yokocho,2
Norubesa,1
Ferris,1
wheel,1
Susukino,7
Tanuki,2
ji,1
Shopping,1
Arcade,1
oldest,1
shopping,1
mall,1
Minami,1
resort,2
hotels,2
steam,1
baths,1
onsen,1
Peace,1
Pagoda,1
monuments,1
built,4
Buddhist,1
order,1
Nipponzan,2
Myohoji,2
promote,1
inspire,1
peace,2
stupa,1
1959,1
halfway,1
up,1
commemorate,1
II,1
some,5
ashes,1
Buddha,1
presented,3
Emperor,1
Prime,1
Minister,1
Nehru,1
1954,1
portion,1
Mikhail,1
Gorbachev,1
monk,1
Junsei,1
Terasawa,1
Parks,1
gardens,1
houses,1
Zoo,1
Nishioka,1
rich,1
nature,1
centers,1
pond,1
consists,2
marshland,1
forest,1
Tsukisamu,2
upper,1
basin,1
This,2
park,2
serves,1
habitats,1
types,2
wild,1
birds,1
Asahiyama,1
offers,2
views,1
Botanical,1
Gardens,1
Chizaki,1
Rose,1
Garden,1
Hitsujigaoka,1
Observation,1
Hill,1
farm,1
attracts,2
visitors,1
statue,1
Events,1
other,4
Ice,3
Satoland,1
Many,3
ice,1
members,1
Ground,1
Self,1
Defense,1
Force,1
Lilac,2
brought,1
1889,1
educator,1
Sarah,1
Clara,1
Smith,1
At,1
festival,7
enjoy,3
flowers,1
wine,1
live,1
music,2
June,1
Soran,1
centered,1
leading,1
there,1
dance,2
teams,5
composed,1
traditional,1
song,1
Bushi,1
Members,1
dancing,1
wear,1
costumes,1
compete,1
roads,1
or,2
stages,1
350,1
featured,1
45,1
dancers,1
860,1
People,1
drinking,1
fairs,1
Autumn,1
December,1
Christmas,2
market,2
similar,2
German,1
markets,1
January,1
citizens,1
White,1
Illuminations,1
Cuisine,1
Brewery,2
white,1
chocolate,1
biscuits,1
shiroi,1
koibito,1
birthplace,1
miso,2
ramen,3
Kouraku,1
Meitengai,1
alley,1
lined,1
restaurants,1
demolition,1
plans,2
Ganso,1
named,2
Sanyo,1
Foods,1
sell,1
instant,1
brand,2
Ichiban,1
Haskap,1
local,2
variety,1
edible,1
honeysuckle,1
blueberries,1
specialty,2
dishes,2
soup,1
curry,2
soupy,1
vegetables,1
chicken,1
meats,1
jingisukan,1
barbecued,1
lamb,1
dish,1
Genghis,1
Khan,1
Sweets,2
confectionery,1
using,1
ingredients,1
Competition,1
annually,2
fresh,1
seafood,1
salmon,1
sea,1
urchin,1
crab,6
Crab,1
particular,1
famed,1
harvested,1
seasonally,1
Horsehair,1
King,1
Hanasaki,1
numerous,1
revolving,1
them,2
Sports,2
host,5
baseball,2
But,1
ES,1
CON,1
Field,1
Esukon,1
rudo,1
will,2
future,1
scheduled,2
March,1
2023,1
selected,1
5th,1
12,2
give,1
IOC,1
broke,1
out,1
11th,1
Some,1
structures,1
remain,1
use,1
ski,7
jumps,1
Okurayama,3
considering,2
bid,2
2026,1
representatives,1
said,2
predicts,1
may,1
cost,1
much,1
456,1
yen,1
planning,1
90,1
percent,1
facilities,1
half,1
hour,1
according,1
report,2
published,1
2016,3
Alpen,1
would,2
Niseko,2
snowiest,1
Committee,1
group,1
matches,1
Basketball,1
Championship,2
Women,4
Volleyball,1
FIS,1
Nordic,1
Ski,1
Championships,1
jump,2
Shirahatayama,1
cross,1
been,2
Obihiro,1
Skiing,1
sport,2
almost,1
children,1
skiing,1
school,4
curriculum,1
Elementary,1
School,5
unusual,1
having,1
own,1
hill,2
jumping,1
grounds,1
Within,1
commercial,1
hills,1
Moiwayama,1
Bankeiyama,1
KobaWorld,1
Fu,1
stadiums,1
domes,1
venues,3
competitions,1
nickname,1
Tsu,1
Golden,1
huge,1
flea,1
event,2
usually,1
along,1
Arena,2
Sekisuiheim,1
Sekisui,1
Chemical,1
Co,1
Ltd,1
acquired,1
naming,1
rights,1
arena,1
their,1
real,1
estate,1
Open,1
Stadium,2
Prefectural,1
basketball,1
Levanga,1
Toyota,1
Big,1
international,3
snowboarding,1
richest,1
kind,1
best,1
snowboarders,1
League,2
J1,1
1998,1
2012,1
present,1
J2,1
1999,1
2000,1
2009,1
2011,1
NPB,1
Transportation,1
streetcar,1
lines,3
Chuo,1
bus,3
trains,2
rubber,1
tired,1
wheels,1
Rapid,1
transit,1
Ropeway,2
Teineyama,1
Rail,1
Stations,1
Line,4
Zenibako,1
Hoshimi,1
Hoshioki,1
Inaho,1
Inazumi,1
en,5
Hassamu,2
Shinrink,1
asa,1
Heiwa,1
Nopporo,1
Hiroshima,1
Sassh,1
Gakuentoshi,1
Hachiken,1
Shinkawa,1
Shinkotoni,1
Taihei,1
Yurigahara,1
Takuhoku,1
Ainosato,2
ikudai,1
Futomi,1
airports,1
regional,1
flights,1
larger,1
airport,2
miles,1
48,1
km,1
connected,1
regular,1
rapid,1
taking,1
40,1
minutes,1
route,1
Haneda,1
busiest,1
shuttle,2
tour,1
charter,1
service,1
An,1
servicing,1
operates,1
every,1
day,1
SkyExpress,1
2005,1
provides,2
transport,1
resorts,1
Education,1
Universities,1
National,1
EducationSee,1
national,1
university,1
Public,1
Medical,1
Private,1
Hokusei,1
Gakuen,3
Hokkai,2
Commerce,1
Fuji,1
Tenshi,1
Health,3
Sciences,2
tani,1
Tokai,1
Musashi,1
Junior,2
Bunkyo,1
Science,1
Koen,1
Institute,1
Technology,1
Pharmacy,1
Care,1
Primary,2
secondary,1
schools,2
language,1
classes,1
foreign,1
returnee,1
students,1
admissions,1
quotas,1
these,1
groups,1
private,1
Korean,2
Middle,1
North,1
Twin,1
sister,1
twinning,1
relationships,1
several,1
worldwide,1
See,1
Notes,1
References,1
External,1
links,1
Official,1
Website,1
Travel,1
Unesco,1
